FeatureResult,Distraction,Attention,BodySpeed,EyesOffScreen,PressesCount,EYEScan,EYEDwell,SingleFastPresses,EEGAB,Targets
0.483236742,0.549794756,0.840483736,0.547160294,0.140008607,0,0.565508384,0.375328192,0.996198999,0.630424015,correct
0.452907749,0.575593647,0.848038352,0.547160294,0,0.172253723,1,0.997208597,0,0.518029141,mistake
-0.390324536,0.544007479,0.309209436,0.547160294,0,0.132775295,0.227951832,0.258657366,0,0.2615134,correct
-0.187383274,0.481585517,0.368865916,0.547160294,0,0.054756307,0.277080026,0.47013362,0,0.376657847,mistake
-0.044357763,0.978629185,0.951945964,0.547160294,0,0.675993499,0.798208229,0.979859455,0,0.331392089,correct
0.111409207,0.685799594,0.752817322,0.547160294,0,0.309996214,1,0.576401418,0,0.802866833,mistake
0.098410992,0.898532384,0.97150559,1,0,0,0.505952966,0.053826903,0.681407727,1,correct
0.468419985,0.254112333,0.601452682,0.167910271,0,0.114897937,0.328148946,0.056030075,0,1,mistake
-0.494980643,1,0.632964529,0.402204698,0.335660215,1,0.137853147,0.017838727,0,0.620862104,mistake
0.934587322,0.172073149,0.923892628,0.191504672,0,0,0.149191339,0.012515043,1,0.527733794,correct
0.851632996,0.144886426,0.776384893,0.161247862,0,0,0.045741521,0.013801589,1,0.221013045,correct
-0.046192163,0.16721085,0.132958678,0.186093293,0,0,0.090916586,0.013948686,0,0.268312462,correct
0.934587322,0.084853874,0.878266471,0.094436078,0,0,0.084684348,0.017835902,1,0.36314433,correct
0.317499712,0.045899392,0.281330125,0.051082624,0,0,0.238472591,0.026643229,0,0.524498969,correct
-0.128299794,0.320867822,0.225731626,0.144517321,0.212584803,0,0.209686391,0.016085972,0,0.407793026,correct
-1,1,0.258485204,0.267611908,0.869665102,0,0.223860303,0.016288311,0,0.485346886,mistake
0.778246068,0.395168083,0.972249058,0.203587475,0.236205336,0,0.340352401,0.018274827,1,0.537457914,correct
-0.403608484,1,0.700718338,0.307956112,1,0,0.901766571,0.064953351,0,1,mistake
-0.265593294,1,0.803058643,1,0.335660215,0,0.225294107,0.01822612,0.949607268,0.384163623,mistake
-0.419317832,1,0.689069624,0.810178272,0.671320429,0,0.363194911,0.025402744,0.796121807,0.182006817,correct
-0.102977449,0.898532384,0.822173082,1,0,0,1,1,0,0.307609339,mistake
0.704510934,0.407461419,0.929866701,0.075433641,0,0.378040743,0.677146648,0.042136891,0,0.890591596,mistake
-0.395667842,0.481036009,0.187642449,0.410307569,0.125049884,0,0.08430345,0.016803639,0,0.42555266,correct
0.783767146,0.325515984,0.906690919,0.362275183,0,0,0.15441043,0.014866248,1,0.375550535,correct
0.934587322,0.222056057,0.9567321,0.247131947,0,0,0.100538961,0.015559949,1,0.734828572,correct
-0.138718672,0.898532384,0.795670436,1,0,0,0.075490594,0.015219477,1,0.142513772,correct
-0.121254182,0.508364694,0.418452924,0.565772256,0,0,0.105564439,0.01607962,0.433746172,0.310011784,mistake
0.814210466,0.273242589,0.876991697,0.304098766,0,0,0.076493496,0.013429162,1,0.371547164,correct
0.418518545,0.560035856,0.87037355,0.150867761,0.472410672,0,0.14283601,0.013209942,1,0.454639236,correct
0.934587322,0.050797287,1,0.056533618,0,0,0.08887273,0.004232853,1,0.759046832,correct
0.256813614,0.084140592,0.274571686,0.093642247,0,0,0.13393723,0.034067061,0,0.602641454,correct
0.085625977,0.203116557,0.266609486,0.109784838,0,0.116268848,0.129554679,0.028272626,0,0.282914382,correct
0.008149038,0.296077564,0.302120196,0.206964391,0,0.122548011,0.204742607,0.059576568,0,0.259481369,mistake
0.091152445,0.084537883,0.15212877,0.094084403,0,0,0.118546513,0.007217731,0,0.301218562,correct
-0.343575896,0.406141499,0.151374889,0.28847864,0.163526771,0,0.130318595,0.011096211,0,0.283452069,correct
0.575832513,0.376186243,0.803174571,0.418667429,0,0,0.051018161,0.023208054,1,0.180059631,correct
0.118792734,0.268268755,0.356355325,0.298563257,0,0,0.309046008,0.026728369,0,0.664415113,correct
0.05979043,0.187787288,0.232122777,0.208993345,0,0,0.231721384,0.030235975,0,0.389546199,correct
0.494796674,0.199880839,0.566779894,0.222452571,0,0,0.048975579,0.022050483,0.573538918,0.537536005,correct
0.336771124,0.443520094,0.693240866,0.248314862,0.245290157,0,0.109361955,0.013063858,0.851908039,0.364347886,correct
